#Date/Time;of;Update:;2017-11-20;3:07:27;PM;#Player;ID;#LastName;#FirstName;#Jersey;Num;#Position;#Height;#Weight;#Birth;Date;#Age;#Birth;City;#Birth;Country;#Rookie;#Team;ID;#Team;Abbr.;#Team;City;#Team;Name
;9229;Barbosa;Leandro;19;SG;"6'3""";194;1982-11-27;34;Sao;Paulo;Brazil;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;
;9180;Barea;J.J.;5;PG;"6'0""";185;1984-06-26;33;;;N;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
;9298;Barnes;Matt;22;SF;"6'7""";226;1980-03-08;37;Santa Clara, CA;USA;N;101;GSW;Golden;State;Warriors;;;;;;;;;;;;;
;9220;Barnes;Harrison;40;F;"6'8""";225;1992-05-30;25;Ames, IO;USA;N;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
;9197;Barton;Will;5;SG;"6'6""";175;1991-01-06;26;;;N;99;DEN;Denver;Nuggets;;;;;;;;;;;;;;
;9288;Bass;Brandon;2;PF;"6'8""";250;1985-04-29;32;Baton Rouge, LA;USA;N;102;LAC;Los;Angeles;Clippers;;;;;;;;;;;;;
;9133;Batum;Nicolas;5;SF;"6'8""";200;1988-12-14;28;Lisieux;France;N;93;CHA;Charlotte;Hornets;;;;;;;;;;;;;;
;9323;Bayless;Jerryd;19;SG;"6'3""";200;1988-08-20;29;;;N;85;PHI;Philadelphia;76ers;;;;;;;;;;;;;;
;9211;Baynes;Aron;12;C;"6'10""";260;1986-12-08;30;;;N;82;BOS;Boston;Celtics;;;;;;;;;;;;;;
;9086;Bazemore;Kent;24;SF;"6'5""";201;1989-07-01;28;;;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;9523;Beal;Bradley;3;SG;"6'5""";207;1993-06-28;24;;;N;94;WAS;Washington;Wizards;;;;;;;;;;;;;;
;10133;Beasley;Malik;25;G;"6'5""";196;1996-11-26;20;;;N;99;DEN;Denver;Nuggets;;;;;;;;;;;;;;
;9245;Beasley;Michael;9;F;"6'10""";235;1989-01-08;28;;;N;83;NYK;New;York;Knicks;;;;;;;;;;;;;
;9470;Belinelli;Marco;33;SG;"6'5""";215;1986-03-24;31;Bologna;Italy;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;13764;Bell;Jordan;;PF;"6'9""";224;1995-01-07;22;Los Angeles, CA;USA;Y;101;GSW;Golden;State;Warriors;;;;;;;;;;;;;
;10156;Bembry;DeAndre';95;F;"6'6""";210;1994-07-04;23;;;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;10143;Bender;Dragan;35;F;"7'1""";225;1997-11-17;20;;;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;;
;9544;Bennett;Anthony;13;PF;"6'8""";245;1993-03-12;24;Toronto, ON;Canada;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;;
;11964;Bentil;Ben;;PF;"6'8""";229;1995-03-28;22;Sekondi-Takoradi;Ghana;N;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
